Métodos de Ordenação                        |Arquivo Ordenado                            |Arquivo Reverso                             |Arquivo Randômico                           |
--------------------------------------------|--------------------------------------------|--------------------------------------------|--------------------------------------------|
                                            |Comp.   |Comp.   |Mov.    |Mov.    |Tempo   |Comp.   |Comp.   |Mov.    |Mov.    |Tempo   |Comp.   |Comp.   |Mov.    |Mov.    |Tempo   |
                                            |Prog.*  |Equa.#  |Prog.+  |Equa.-  |        |Prog.*  |Equa.#  |Prog.+  |Equa.-  |        |Prog.*  |Equa.#  |Prog.+  |Equa.-  |        |
--------------------------------------------|--------------------------------------------|--------------------------------------------|--------------------------------------------|
Inserção Direta                             |511     |511     |0       |1533    |6983    |131327  |65663   |131327  |131838  |1904402 |66510   |65663   |66505   |66685   |934033  |
Inserção Binária                            |4097    |1536    |0       |1533    |29560   |3850    |1536    |131327  |131838  |1865435 |3988    |1536    |66651   |66685   |948863  |
Seleção Direta                              |130816  |261888  |1022    |1533    |839610  |130816  |261888  |1022    |170     |845328  |130816  |261888  |1022    |1536    |832016  |
Bolha                                       |130816  |130816  |0       |0       |1637595 |130816  |130816  |261632  |392448  |32817969|130816  |130816  |131998  |196224  |2399090 |
Shake                                       |163712  |0       |0       |0       |1860032 |163712  |0       |261632  |0       |3647537 |163712  |0       |131998  |0       |2787202 |
Shell                                       |1529    |0       |0       |0       |17809   |260097  |0       |256528  |0       |3535909 |260865  |0       |257322  |0       |3541703 |
Heap                                        |131072  |0       |8192    |0       |1589157 |131072  |0       |7464    |0       |1585760 |131072  |0       |8212    |0       |1598131 |
Quick SP                                    |131327  |0       |0       |0       |761359  |131583  |0       |1024    |0       |775579  |148653  |0       |69304   |0       |1428590 |
Quick CP                                    |512     |0       |512     |0       |29123   |1024    |0       |1024    |0       |33207   |2730    |0       |2592    |0       |57797   |
Merge 1                                     |13842   |0       |9216    |0       |149328  |13842   |0       |9216    |0       |145719  |13574   |0       |9216    |0       |145595  |
Merge 2                                     |17402   |0       |9216    |0       |137263  |17402   |0       |9216    |0       |135956  |20756   |0       |9216    |0       |145464  |
Counting                                    |1024    |0       |512     |0       |19531   |1024    |0       |512     |0       |19752   |1024    |0       |512     |0       |19657   |
Bucket                                      |20      |0       |1024    |0       |12798   |20      |0       |1024    |0       |12504   |20      |0       |1024    |0       |12519   |
Radix                                       |1569    |0       |3072    |0       |22844   |1569    |0       |3072    |0       |22407   |2092    |0       |4096    |0       |29470   |
Comb                                        |18221   |0       |0       |0       |104940  |18961   |0       |1480    |0       |115236  |20062   |0       |3682    |0       |129684  |
Gnome                                       |1534    |0       |0       |0       |6342    |133372  |0       |131327  |0       |3300565 |69047   |0       |66505   |0       |1651627 |
Tim                                         |6715    |0       |4096    |0       |66125   |14651   |0       |12528   |0       |168015  |12723   |0       |8565    |0       |124703  |
